combo,filename,label,esp_only,window_index,start_offset_sec,n_packets,n_bytes,pkts_per_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,median_size,mean_inter_arrival,std_inter_arrival,max_inter_arrival,fwd_packet_ratio,fwd_byte_ratio
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,17,17.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.022728581177560908,0.09794496835528313,0.4271881580352783,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,18,18.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003619988759358724,0.0005849908724765582,0.0019030570983886719,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,19,19.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.00033598475986056856,0.0004378836927172177,0.0014729499816894531,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,20,20.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.00035264756944444444,0.0005166394928315028,0.0016880035400390625,0.6,0.357429718875502
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__file_transfer_run1.pcap,file_transfer,True,0,0.0,3747,3830996,3747.0,3830996.0,1022.4168668267947,645.5680109962706,124,1500,1500.0,0.00016688734086133935,0.0016968930417884756,0.0618128776550293,0.6653322658126501,0.9585173150794206
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,0,0.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.0017240047454833984,0.0,0.0017240047454833984,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,1,1.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00010800361633300781,0.0,0.00010800361633300781,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,2,2.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00013494491577148438,0.0,0.00013494491577148438,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,3,3.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00023698806762695312,0.0,0.00023698806762695312,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,4,4.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00013399124145507812,0.0,0.00013399124145507812,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,icmp,True,5,5.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.0001709461212158203,0.0,0.0001709461212158203,0.5,0.5
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__video_run1.pcap,video_streaming,True,0,0.0,299,237204,299.0,237204.0,793.3244147157191,683.7902351431243,124,1500,236.0,0.0032677986477845466,0.03145791820153652,0.316068172454834,0.46488294314381273,0.07455186253182915
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__video_run1.pcap,video_streaming,True,1,1.0,28,20096,28.0,20096.0,717.7142857142857,690.2267398333336,124,1500,124.0,0.00010485119289822048,7.451082603953083e-05,0.00042700767517089844,0.5,0.09195859872611464
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__voip_run1.pcap,voip,True,0,0.0,27,13044,27.0,13044.0,483.1111111111111,81.38291889075673,396,604,460.0,0.015430881426884578,0.03338693539649416,0.09244918823242188,0.48148148148148145,0.5136461208218338
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,0,0.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.031226735366018193,0.135178395537504,0.5894432067871094,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,1,1.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.018240577296206827,0.07874179122022001,0.3434031009674072,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,2,2.0,10,2168,10.0,2168.0,216.8,271.7175003565284,124,988,124.0,0.0003818670908610026,0.0005167370149494781,0.0017130374908447266,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,3,3.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.031868583277652136,0.13800514182112633,0.6017580032348633,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,4,4.0,10,2168,10.0,2168.0,216.8,271.7175003565284,124,988,124.0,0.0001728004879421658,7.974743102466813e-05,0.0002970695495605469,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,5,5.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.02992215909455952,0.12970532054164355,0.5655379295349121,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,6,6.0,10,2168,10.0,2168.0,216.8,271.7175003565284,124,988,124.0,0.0001540978749593099,0.00010516408129807553,0.00036787986755371094,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,7,7.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.01753595000819156,0.07577641377908295,0.33045315742492676,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,8,8.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.02017126585307874,0.08719396296455001,0.3802371025085449,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,9,9.0,10,2168,10.0,2168.0,216.8,271.7175003565284,124,988,124.0,0.00017611185709635416,0.0001025621194546517,0.0003399848937988281,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,10,10.0,10,2168,10.0,2168.0,216.8,271.7175003565284,124,988,124.0,0.00017054875691731772,0.00010761502656045168,0.00037097930908203125,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,11,11.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.02671747458608527,0.11574809081366516,0.5046970844268799,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,12,12.0,20,4336,20.0,4336.0,216.8,264.4703943236071,124,988,124.0,0.030692941264102335,0.13291185281600001,0.57955002784729,0.6,0.3726937269372694
aes128-dh14-tunnel-pfs-off,aes128-dh14-tunnel-pfs-off__web_run1.pcap,web_browsing,True,13,13.0,5,684,5.0,684.0,136.8,28.621670111997307,124,188,124.0,0.0001004934310913086,5.535231905172392e-05,0.0001621246337890625,0.6,0.6374269005847953
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__file_transfer_run1.pcap,file_transfer,True,0,0.0,3748,3833872,3748.0,3833872.0,1022.9114194236927,645.4091087766113,124,1500,1500.0,0.0001689153955814391,0.0016970359568327983,0.0627892017364502,0.6656883671291356,0.9585807768230133
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,icmp,True,0,0.0,4,624,4.0,624.0,156.0,0.0,156,156,156.0,0.33312733968098956,0.5759274226073965,0.9981508255004883,0.5,0.5
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,icmp,True,2,2.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00015306472778320312,0.0,0.00015306472778320312,0.5,0.5
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,icmp,True,3,3.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00013399124145507812,0.0,0.00013399124145507812,0.5,0.5
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,icmp,True,4,4.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00024700164794921875,0.0,0.00024700164794921875,0.5,0.5
aes128-dh14-tunnel-pfs-on,aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,icmp,True,5,5.0,2,312,2.0,312.0,156.0,0.0,156,156,156.0,0.00014495849609375,0.0,0.00014495849609375,0.5,0.5
